a_walk,acor_1.rho,acor_2.rho,acor_3.rho,acor_1.phi,acor_2.phi,acor_3.phi,dos.min,dos.max,dos.mean,dos.std,fdc_cor,fn_cor,n_deg.min,n_deg.max,n_deg.mean,n_deg.std,n_walk.min,n_walk.max,n_walk.mean,n_walk.std
4.11,0.588388,0.570482,0.446212,0.588388,0.343043,0.0413484,0.0,65.0,7.89125,2.86434,-0.597621,-4.20864e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.48,-0.0161957,0.322439,-0.013858,-0.0161957,0.322262,-0.00569194,0.0,21858.0,120.615,1540.98,-0.246501,-0.0543827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.74375,-0.185136,0.78654,-0.182111,-0.185136,0.778964,-0.0150386,0.0,787350000.0,86120300.0,245738000.0,-0.0696304,-0.158103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,-0.628242,0.80504,-0.638807,-0.628242,0.677918,-0.15289,0.0,2837090000.0,553239000.0,1124060000.0,0.241035,-0.503458,0.0,29.0,0.29,2.88546,0.0,30.0,17.5853,4.79416
1.438,-0.292556,0.442719,-0.340256,-0.292556,0.390557,-0.189774,0.0,3352370000.0,703896000.0,1248810000.0,-0.0985964,-0.359535,0.0,29.0,4.028,9.19626,0.0,0.0,0.0,0.0
4.00125,-0.038137,0.244909,0.0411474,-0.038137,0.243809,0.061232,0.0,65.0,7.8875,2.89911,-0.596795,0.1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2,-0.219483,0.165653,-0.102097,-0.219483,0.123426,-0.0460207,0.0,81.0,11.735,15.3514,-0.264188,-0.0625031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.728125,-0.373367,0.801752,-0.373623,-0.373367,0.76964,-0.0493331,0.0,1322390000.0,173568000.0,446533000.0,-0.0213216,-0.195108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,-0.676465,0.900361,-0.68224,-0.676465,0.816298,-0.100328,0.0,3130430000.0,623502000.0,1247520000.0,0.296549,-0.568415,0.0,29.0,0.1325,1.6748,0.0,30.0,17.5061,4.77459
1.406,0.216628,0.345315,0.180355,0.216628,0.31308,0.0711308,0.0,2649670000.0,334919000.0,863599000.0,-0.193869,-0.0790055,0.0,29.0,3.048,8.26569,0.0,0.0,0.0,0.0
4.06375,0.769816,0.680876,0.603787,0.769816,0.216649,0.0680311,0.0,65.0,7.9525,2.90349,-0.634202,0.332501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.12,-0.222786,0.122958,-0.0322982,-0.222786,0.0771534,0.0107656,0.0,81.0,11.325,14.6232,-0.189242,-0.257655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.771875,-0.176381,0.740328,-0.175516,-0.176381,0.73199,-0.0253696,0.0,423490000.0,46324800.0,132173000.0,-0.00310467,-0.176743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7175,-0.714681,0.75526,-0.713864,-0.714681,0.499745,-0.236162,0.0,692778000.0,95239700.0,238518000.0,0.281972,-0.577788,0.0,29.0,0.1025,1.56588,0.0,0.0,0.0,0.0
1.304,-0.308511,0.459444,-0.295693,-0.308511,0.402582,-0.114501,0.0,2961420000.0,624684000.0,1090780000.0,-0.116371,-0.34565,0.0,29.0,3.326,8.5482,0.0,0.0,0.0,0.0
3.97375,-0.0706217,0.123688,0.0216276,-0.0706217,0.119295,0.0384823,0.0,12.0,7.855,2.12285,-0.757033,0.20503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.255,-0.275308,0.530515,-0.136689,-0.275308,0.492012,0.104157,0.0,81.0,12.365,16.0272,-0.428274,-0.0540572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.821875,-0.123309,0.717994,-0.124628,-0.123309,0.713639,-0.0233354,0.0,11497700.0,1154700.0,3447670.0,-0.0861949,-0.106344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.76,-0.495318,0.84747,-0.493425,-0.495318,0.797883,-0.0487796,0.0,4294940000.0,785265000.0,1658510000.0,0.295558,-0.402489,0.0,12.0,0.03,0.59925,0.0,30.0,17.5636,4.69311
